Terran Petteway,75000,2016,ATL
Kris Humphries,388025,2016,ATL
Lamar Patterson,525093,2016,ATL
Mike Muscala,947276,2016,ATL
Walter Tavares,1000000,2016,ATL
Tim Hardaway,1304520,2016,ATL
Dennis Schroder,1763400,2016,ATL
Kent Bazemore,2000000,2016,ATL
Kirk Hinrich,2870000,2016,ATL
Mike Scott,3333333,2016,ATL
Thabo Sefolosha,4000000,2016,ATL
Kyle Korver,5746479,2016,ATL
Jeff Teague,8000000,2016,ATL
Tiago Splitter,8500000,2016,ATL
Al Horford,12000000,2016,ATL
Paul Millsap,19000000,2016,ATL
John Holland,9266,2016,BOS
Corey Walden,25000,2016,BOS
Levi Randolph,25000,2016,BOS
Malcolm Miller,25000,2016,BOS
Coty Clarke,61776,2016,BOS
R.J. Hunter,1148640,2016,BOS
Jordan Mickey,1200000,2016,BOS
James Young,1749840,2016,BOS
Terry Rozier,1824360,2016,BOS
Perry Jones,2038206,2016,BOS
Zoran Dragic,2050397,2016,BOS
Kelly Olynyk,2165160,2016,BOS
Jared Sullinger,2269260,2016,BOS
Tyler Zeller,2616975,2016,BOS
Evan Turner,3425510,2016,BOS
Marcus Smart,3431040,2016,BOS
Jonas Jerebko,5000000,2016,BOS
Jae Crowder,6000000,2016,BOS
Isaiah Thomas,6912869,2016,BOS
Avery Bradley,7730337,2016,BOS
Amir Johnson,12000000,2016,BOS
David Lee,15493680,2016,BOS
Quincy Miller,50000,2016,BRK
Ryan Boatright,75000,2016,BRK
Sean Kilpatrick,99418,2016,BRK
Henry Sims,111452,2016,BRK
Markel Brown,845059,2016,BRK
Willie Reed,947276,2016,BRK
Thomas Robinson,981300,2016,BRK
Donald Sloan,1015421,2016,BRK
Chris McCullough,1140240,2016,BRK
Rondae Hollis-Jefferson,1335480,2016,BRK
Andrea Bargnani,1362900,2016,BRK
Shane Larkin,1500000,2016,BRK
Wayne Ellington,1500000,2016,BRK
Sergey Karasev,1599840,2016,BRK
Bojan Bogdanovic,3425510,2016,BRK
Deron Williams,5500000,2016,BRK
Jarrett Jack,6300000,2016,BRK
Thaddeus Young,11200000,2016,BRK
Brook Lopez,20000000,2016,BRK
Joe Johnson,24894863,2016,BRK
Cristiano Felicio,525090,2016,CHI
Cameron Bairstow,845059,2016,CHI
Justin Holiday,947300,2016,CHI
E'Twaun Moore,1015421,2016,CHI
Bobby Portis,1391160,2016,CHI
Tony Snell,1535880,2016,CHI
Aaron Brooks,2000000,2016,CHI
Doug McDermott,2380440,2016,CHI
Mike Dunleavy,4500000,2016,CHI
Nikola Mirotic,5543725,2016,CHI
Pau Gasol,7448760,2016,CHI
Taj Gibson,8500000,2016,CHI
Joakim Noah,13400000,2016,CHI
Jimmy Butler,15260000,2016,CHI
Derrick Rose,20093063,2016,CHI
Elliot Williams,80000,2016,CHO
Jorge Gutierrez,111444,2016,CHO
Jorge Gutierrez,190000,2016,CHO
Aaron Harrison,525093,2016,CHO
Troy Daniels,947276,2016,CHO
Tyler Hansbrough,1185784,2016,CHO
Jeremy Lin,2100000,2016,CHO
Frank Kaminsky,2612500,2016,CHO
Jeremy Lamb,3034356,2016,CHO
Cody Zeller,4204200,2016,CHO
Spencer Hawes,5543725,2016,CHO
Courtney Lee,5675000,2016,CHO
Michael Kidd-Gilchrist,6331404,2016,CHO
Marvin Williams,7000000,2016,CHO
Kemba Walker,12000000,2016,CHO
Nicolas Batum,12235750,2016,CHO
Al Jefferson,13833333,2016,CHO
Dahntay Jones,8819,2016,CLE
Jordan McRae,30888,2016,CLE
Jordan McRae,142084,2016,CLE
Matthew Dellavedova,1147280,2016,CLE
Sasha Kaun,1300000,2016,CLE
James Jones,1499000,2016,CLE
Richard Jefferson,1499000,2016,CLE
Mo Williams,2100000,2016,CLE
Timofey Mozgov,4950000,2016,CLE
J.R. Smith,5000000,2016,CLE
Channing Frye,7807579,2016,CLE
Iman Shumpert,9000000,2016,CLE
Tristan Thompson,14260870,2016,CLE
Kyrie Irving,14746000,2016,CLE
Kevin Love,19500000,2016,CLE
LeBron James,22971000,2016,CLE
Jarrid Famous,10000,2016,DAL
Jamil Wilson,50000,2016,DAL
Brandon Ashley,50000,2016,DAL
Gal Mekel,315760,2016,DAL
Salah Mejri,525093,2016,DAL
Maurice Ndour,525094,2016,DAL
Dwight Powell,845059,2016,DAL
Jeremy Evans,1100602,2016,DAL
JaVale McGee,1270964,2016,DAL
Justin Anderson,1449000,2016,DAL
Charlie Villanueva,1499187,2016,DAL
Samuel Dalembert,1499187,2016,DAL
David Lee,2102224,2016,DAL
Raymond Felton,3950313,2016,DAL
J.J. Barea,4000000,2016,DAL
Devin Harris,4053000,2016,DAL
Zaza Pachulia,5200000,2016,DAL
Deron Williams,5500000,2016,DAL
Dirk Nowitzki,8333334,2016,DAL
Chandler Parsons,15361500,2016,DAL
Wesley Matthews,16400000,2016,DAL
Axel Toupane,61776,2016,DEN
Axel Toupane,61776,2016,DEN
Sean Kilpatrick,99418,2016,DEN
Erick Green,100000,2016,DEN
JaKarr Sampson,285489,2016,DEN
Kostas Papanikolaou,350000,2016,DEN
Nick Johnson,845059,2016,DEN
Joey Dorsey,1015421,2016,DEN
Nikola Jokic,1300000,2016,DEN
Mike Miller,1499187,2016,DEN
Gary Harris,1587480,2016,DEN
Joffrey Lauvergne,1709720,2016,DEN
Jusuf Nurkic,1842000,2016,DEN
Darrell Arthur,2814000,2016,DEN
D.J. Augustin,3000000,2016,DEN
Emmanuel Mudiay,3102240,2016,DEN
Will Barton,3333333,2016,DEN
Steve Novak,3750000,2016,DEN
Jameer Nelson,4500000,2016,DEN
J.J. Hickson,5613500,2016,DEN
Wilson Chandler,10500000,2016,DEN
Kenneth Faried,11235955,2016,DEN
Danilo Gallinari,14000000,2016,DEN
Lorenzo Brown,5572,2016,DET
Adonis Thomas,60000,2016,DET
Justin Harper,99418,2016,DET
Lorenzo Brown,111444,2016,DET
Aaron Gray,452059,2016,DET
Darrun Hilliard,525093,2016,DET
Spencer Dinwiddie,845059,2016,DET
Reggie Bullock,1252440,2016,DET
Cartier Martin,1270964,2016,DET
Steve Blake,2170465,2016,DET
Danny Granger,2170465,2016,DET
Joel Anthony,2500000,2016,DET
Stanley Johnson,2841960,2016,DET
Kentavious Caldwell-Pope,2891760,2016,DET
Anthony Tolliver,3000000,2016,DET
Andre Drummond,3272091,2016,DET
Marcus Morris,5000000,2016,DET
Josh Smith,5400000,2016,DET
Jodie Meeks,6270000,2016,DET
Aron Baynes,6500000,2016,DET
Reggie Jackson,14000000,2016,DET
Tobias Harris,16000000,2016,DET
Anderson Varejao,458575,2016,GSW
James Michael McAdoo,845059,2016,GSW
Ian Clark,947276,2016,GSW
Kevon Looney,1131960,2016,GSW
Brandon Rush,1270964,2016,GSW
Festus Ezeli,2008748,2016,GSW
Leandro Barbosa,2500000,2016,GSW
Marreese Speights,3815000,2016,GSW
Harrison Barnes,3873398,2016,GSW
Shaun Livingston,5543725,2016,GSW
Jason Thompson,6431250,2016,GSW
